ID,Ethylbenzene,"m,p-Xylene",o-Xylene,Propylbenzene,m-Ethyltoluene,C3.alkylbenzene.unid.1,C3.alkylbenzene.unid.2,o-Ethyltoluene,"1,2,4,-Trimethylbenzene","1,2,3,-Trimethylbenzene",C4.alkylbenzene.unid.1,C4.alkylbenzene.unid.2,C4.alkylbenzene.unid.3,C4.alkylbenzene.unid.4,C4.alkylbenzene.unid.5
6,0.410351386,1.428731155,0.532977053,0.115826423,0.38043728,0.163543604,0.191738625,0.15622126,0.586847563,0.1222086,0.034414794,0.081149674,0.056567496,0.069177549,0.098800646
7,0.327764733,1.092178704,0.477561502,0.166642289,0.548757869,0.213994448,0.28529572,0.247494953,0.87010598,0.20058341,0.076964746,0.162750463,0.111298487,0.14178249,0.22318522
7,0.320145919,1.056256857,0.462621468,0.161876573,0.525214499,0.211034427,0.273898279,0.236974831,0.835901834,0.189103105,0.073537233,0.158444139,0.108298191,0.135662951,0.216209752
7,0.312375646,1.026226535,0.448232503,0.153001556,0.49534663,0.198490666,0.259307008,0.224723236,0.780225714,0.17685259,0.068099084,0.14513959,0.097588128,0.124101526,0.194621441
7,0.306294309,1.025168639,0.449104755,0.152335944,0.50967324,0.195584184,0.258897244,0.225464046,0.798095749,0.179214876,0.065985793,0.143777034,0.097945537,0.12609644,0.197395924
7,0.31133377,1.021554025,0.438905536,0.150370647,0.483403546,0.190084831,0.250046287,0.218800546,0.752129191,0.170370061,0.065596904,0.138331065,0.09427977,0.117070371,0.186734402
7,0.297783129,0.980902104,0.429709604,0.149720686,0.487814505,0.188639592,0.251375471,0.21815513,0.771578828,0.174115142,0.067004786,0.142317461,0.096719885,0.123904599,0.192690308
7,0.300543067,0.766931429,0.423471397,0.144542315,0.46070402,0.183103364,0.239722321,0.20992555,0.721274738,0.167171427,0.064523459,0.135280489,0.092149611,0.115594617,0.182785019
8,0.23966358,0.884308523,0.362212802,0.090259777,0.301763687,0.134335634,0.152740803,0.140758236,0.509786627,0.10749601,0.033778618,0.079479121,0.056078482,0.067659902,0.09439924
8,0.183473603,0.682086565,0.277639927,0.068856924,0.228046161,0.101031532,0.114110452,0.104002058,0.373277825,0.076282251,0.023065351,0.054742735,0.038118866,0.046617815,0.064286941
